,Unnamed: 0,filename,label,species
0,0,xc132608.flac,0,Acanthisflammea
1,1,xc132609.flac,0,Acanthisflammea
2,2,xc132611.flac,0,Acanthisflammea
3,3,xc26308.flac,0,Acanthisflammea
4,4,xc168551.flac,0,Acanthisflammea
5,5,xc90382.flac,0,Acanthisflammea
6,6,xc100976.flac,0,Acanthisflammea
7,7,xc26244.flac,0,Acanthisflammea
8,8,xc35068.flac,0,Acanthisflammea
9,9,xc152480.flac,0,Acanthisflammea
10,10,xc83811.flac,1,Accipiternisus
11,11,xc83812.flac,1,Accipiternisus
12,12,xc143334.flac,1,Accipiternisus
13,13,xc143335.flac,1,Accipiternisus
14,14,xc27400.flac,1,Accipiternisus
15,15,xc83816.flac,1,Accipiternisus
16,16,xc107283.flac,1,Accipiternisus
17,17,xc37237.flac,1,Accipiternisus
18,18,xc95574.flac,1,Accipiternisus
19,19,xc25941.flac,1,Accipiternisus
20,20,xc50432.flac,2,Acrocephalusarundinaceus
21,21,xc180810.flac,2,Acrocephalusarundinaceus
22,22,xc83213.flac,2,Acrocephalusarundinaceus
23,23,xc50482.flac,2,Acrocephalusarundinaceus
24,24,xc50483.flac,2,Acrocephalusarundinaceus
25,25,xc50484.flac,2,Acrocephalusarundinaceus
26,26,xc53686.flac,2,Acrocephalusarundinaceus
27,27,xc181300.flac,2,Acrocephalusarundinaceus
28,28,xc48347.flac,2,Acrocephalusarundinaceus
29,29,xc178876.flac,2,Acrocephalusarundinaceus
30,30,xc31625.flac,3,Acrocephalusdumetorum
31,31,xc180043.flac,3,Acrocephalusdumetorum
32,32,xc100332.flac,3,Acrocephalusdumetorum
33,33,xc37916.flac,3,Acrocephalusdumetorum
34,34,xc103667.flac,3,Acrocephalusdumetorum
35,35,xc150009.flac,3,Acrocephalusdumetorum
36,36,xc182139.flac,3,Acrocephalusdumetorum
37,37,xc180476.flac,3,Acrocephalusdumetorum
38,38,xc90333.flac,3,Acrocephalusdumetorum
39,39,xc182140.flac,3,Acrocephalusdumetorum
40,40,xc37165.flac,4,Acrocephaluspalustris
41,41,xc103214.flac,4,Acrocephaluspalustris
42,42,xc82715.flac,4,Acrocephaluspalustris
43,43,xc113692.flac,4,Acrocephaluspalustris
44,44,xc82717.flac,4,Acrocephaluspalustris
45,45,xc181158.flac,4,Acrocephaluspalustris
46,46,xc82716.flac,4,Acrocephaluspalustris
47,47,xc103212.flac,4,Acrocephaluspalustris
48,48,xc64685.flac,4,Acrocephaluspalustris
49,49,xc64686.flac,4,Acrocephaluspalustris
50,50,xc64687.flac,4,Acrocephaluspalustris
51,51,xc64689.flac,4,Acrocephaluspalustris
52,52,xc64690.flac,4,Acrocephaluspalustris
53,53,xc84152.flac,4,Acrocephaluspalustris
54,54,xc84153.flac,4,Acrocephaluspalustris
55,55,xc102982.flac,4,Acrocephaluspalustris
56,56,xc179150.flac,4,Acrocephaluspalustris
57,57,xc179151.flac,4,Acrocephaluspalustris
58,58,xc179152.flac,4,Acrocephaluspalustris
59,59,xc180067.flac,4,Acrocephaluspalustris
60,60,xc176867.flac,4,Acrocephaluspalustris
61,61,xc103213.flac,4,Acrocephaluspalustris
62,62,xc24896.flac,5,Acrocephalusschoenobaenus
63,63,xc36482.flac,5,Acrocephalusschoenobaenus
64,64,xc102276.flac,5,Acrocephalusschoenobaenus
65,65,xc132357.flac,5,Acrocephalusschoenobaenus
66,66,xc24972.flac,5,Acrocephalusschoenobaenus
67,67,xc24973.flac,5,Acrocephalusschoenobaenus
70,70,xc102934.flac,5,Acrocephalusschoenobaenus
