,filename,label,species
0,xc132608.flac,0,Acanthisflammea
1,xc132609.flac,0,Acanthisflammea
2,xc132611.flac,0,Acanthisflammea
3,xc26308.flac,0,Acanthisflammea
4,xc168551.flac,0,Acanthisflammea
5,xc90382.flac,0,Acanthisflammea
6,xc100976.flac,0,Acanthisflammea
7,xc26244.flac,0,Acanthisflammea
8,xc35068.flac,0,Acanthisflammea
9,xc152480.flac,0,Acanthisflammea
10,xc83811.flac,1,Accipiternisus
11,xc83812.flac,1,Accipiternisus
12,xc143334.flac,1,Accipiternisus
13,xc143335.flac,1,Accipiternisus
14,xc27400.flac,1,Accipiternisus
15,xc83816.flac,1,Accipiternisus
16,xc107283.flac,1,Accipiternisus
17,xc37237.flac,1,Accipiternisus
18,xc95574.flac,1,Accipiternisus
19,xc25941.flac,1,Accipiternisus
20,xc50432.flac,2,Acrocephalusarundinaceus
21,xc180810.flac,2,Acrocephalusarundinaceus
22,xc83213.flac,2,Acrocephalusarundinaceus
23,xc50482.flac,2,Acrocephalusarundinaceus
24,xc50483.flac,2,Acrocephalusarundinaceus
25,xc50484.flac,2,Acrocephalusarundinaceus
26,xc53686.flac,2,Acrocephalusarundinaceus
27,xc181300.flac,2,Acrocephalusarundinaceus
28,xc48347.flac,2,Acrocephalusarundinaceus
29,xc178876.flac,2,Acrocephalusarundinaceus
30,xc31625.flac,3,Acrocephalusdumetorum
31,xc180043.flac,3,Acrocephalusdumetorum
32,xc100332.flac,3,Acrocephalusdumetorum
33,xc37916.flac,3,Acrocephalusdumetorum
34,xc103667.flac,3,Acrocephalusdumetorum
35,xc150009.flac,3,Acrocephalusdumetorum
36,xc182139.flac,3,Acrocephalusdumetorum
37,xc180476.flac,3,Acrocephalusdumetorum
38,xc90333.flac,3,Acrocephalusdumetorum
39,xc182140.flac,3,Acrocephalusdumetorum
40,xc37165.flac,4,Acrocephaluspalustris
41,xc103214.flac,4,Acrocephaluspalustris
42,xc82715.flac,4,Acrocephaluspalustris
43,xc113692.flac,4,Acrocephaluspalustris
44,xc82717.flac,4,Acrocephaluspalustris
45,xc181158.flac,4,Acrocephaluspalustris
46,xc82716.flac,4,Acrocephaluspalustris
47,xc103212.flac,4,Acrocephaluspalustris
48,xc64685.flac,4,Acrocephaluspalustris
49,xc64686.flac,4,Acrocephaluspalustris
50,xc64687.flac,4,Acrocephaluspalustris
51,xc64689.flac,4,Acrocephaluspalustris
52,xc64690.flac,4,Acrocephaluspalustris
53,xc84152.flac,4,Acrocephaluspalustris
54,xc84153.flac,4,Acrocephaluspalustris
55,xc102982.flac,4,Acrocephaluspalustris
56,xc179150.flac,4,Acrocephaluspalustris
57,xc179151.flac,4,Acrocephaluspalustris
58,xc179152.flac,4,Acrocephaluspalustris
59,xc180067.flac,4,Acrocephaluspalustris
60,xc176867.flac,4,Acrocephaluspalustris
61,xc103213.flac,4,Acrocephaluspalustris
62,xc24896.flac,5,Acrocephalusschoenobaenus
63,xc36482.flac,5,Acrocephalusschoenobaenus
64,xc102276.flac,5,Acrocephalusschoenobaenus
65,xc132357.flac,5,Acrocephalusschoenobaenus
66,xc24972.flac,5,Acrocephalusschoenobaenus
67,xc24973.flac,5,Acrocephalusschoenobaenus
68,xc189838.flac,5,Acrocephalusschoenobaenus
69,xc189839.flac,5,Acrocephalusschoenobaenus
70,xc102934.flac,5,Acrocephalusschoenobaenus
71,xc102935.flac,5,Acrocephalusschoenobaenus
72,xc125848.flac,5,Acrocephalusschoenobaenus
73,xc183428.flac,5,Acrocephalusschoenobaenus
74,xc125855.flac,5,Acrocephalusschoenobaenus
75,xc125857.flac,5,Acrocephalusschoenobaenus
76,xc125858.flac,5,Acrocephalusschoenobaenus
77,xc181156.flac,5,Acrocephalusschoenobaenus
78,xc133930.flac,5,Acrocephalusschoenobaenus
79,xc133931.flac,5,Acrocephalusschoenobaenus
80,xc133932.flac,5,Acrocephalusschoenobaenus
81,xc133933.flac,5,Acrocephalusschoenobaenus
82,xc133934.flac,5,Acrocephalusschoenobaenus
83,xc133935.flac,5,Acrocephalusschoenobaenus
84,xc133936.flac,5,Acrocephalusschoenobaenus
85,xc133937.flac,5,Acrocephalusschoenobaenus
86,xc100830.flac,5,Acrocephalusschoenobaenus
87,xc108276.flac,5,Acrocephalusschoenobaenus
88,xc101947.flac,5,Acrocephalusschoenobaenus
89,xc71741.flac,5,Acrocephalusschoenobaenus
90,xc180928.flac,5,Acrocephalusschoenobaenus
91,xc24897.flac,5,Acrocephalusschoenobaenus
92,xc56909.flac,5,Acrocephalusschoenobaenus
93,xc56911.flac,5,Acrocephalusschoenobaenus
94,xc56912.flac,5,Acrocephalusschoenobaenus
95,xc120663.flac,5,Acrocephalusschoenobaenus
96,xc120664.flac,5,Acrocephalusschoenobaenus
97,xc120665.flac,5,Acrocephalusschoenobaenus
98,xc120666.flac,5,Acrocephalusschoenobaenus
99,xc183134.flac,5,Acrocephalusschoenobaenus
100,xc76767.flac,5,Acrocephalusschoenobaenus
101,xc76768.flac,5,Acrocephalusschoenobaenus
102,xc76769.flac,5,Acrocephalusschoenobaenus
103,xc76770.flac,5,Acrocephalusschoenobaenus
104,xc76771.flac,5,Acrocephalusschoenobaenus
105,xc76772.flac,5,Acrocephalusschoenobaenus
106,xc76773.flac,5,Acrocephalusschoenobaenus
107,xc76775.flac,5,Acrocephalusschoenobaenus
108,xc76776.flac,5,Acrocephalusschoenobaenus
