Bird name,Path,ID
ABBOTTS BABBLER,train/ABBOTTS BABBLER/001.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/002.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/003.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/004.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/005.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/006.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/007.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/008.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/009.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/010.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/011.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/012.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/013.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/014.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/015.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/016.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/017.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/018.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/019.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/020.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/021.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/022.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/023.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/024.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/025.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/026.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/027.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/028.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/029.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/030.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/031.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/032.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/033.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/034.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/035.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/036.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/037.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/038.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/039.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/040.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/041.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/042.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/043.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/044.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/045.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/046.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/047.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/048.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/049.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/050.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/051.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/052.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/053.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/054.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/055.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/056.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/057.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/058.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/059.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/060.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/061.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/062.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/063.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/064.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/065.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/066.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/067.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/068.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/069.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/070.jpg,0
ABBOTTS BABBLER,train/ABBOTTS BABBLER/071.jpg,0
